Date,A_OC_GOOGLE_SHOPPING,C_DIV_BUY_CONNECTEDl21_0p0_0d0_06,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_06,C_DIV_BUY_SSl21_0p0_0d0_06,C_DIV_CONN_DATAl21_0p0_0d0_12,C_DIV_CONN_REMOTEl21_0p0_0d0_12,C_DIV_CONN_TRYl21_0p0_0d0_12,C_DIV_GETNOW_CONNl21_0p0_0d0_12,C_DIV_GETNOW_ESSl21_0p0_0d0_12,C_DIV_GETNOW_PREMl21_0p0_0d0_12,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_06,C_PP_PKG_CONNECTEDl21_0p0_0d0_12,C_PP_PKG_ESSl21_0p0_0d0_12,C_PP_PKG_PREMl21_0p0_0d0_0,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_06,C_PP_PKG_SSl21_0p0_0d0_06,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_0,DIV_PKG_CONN_SERVICESl21_0p0_0d0_12,DIV_PKG_SS_ROADSIDEl21_0p0_0d0_12,DIV_PLANPAGE_ESSl21_0p0_0d0_0,DIV_PLANPAGE_HOMEl21_0p0_0d0_0,DIV_WYG_PPl21_0p0_0d0_0,OC_APP_Accessl21_0p0_0d0_12,OC_PAGE_PREFPLl21_0p0_0d0_12,OC_PAGE_PREMl21_0p0_0d0_12,SC_BUYNOWl21_0p0_0d0_06,SC_HOMEPAGEl21_0p0_0d0_12,SC_SHOPNOWl21_0p0_0d0_12,Is_Holiday,Is_NYE
10/13/2023,729,-1.262234394,-0.546379433,-1.168507664,-0.332886989,-0.702837139,-0.096495893,-0.711412851,0.298486869,-0.161436412,0.534837308,-0.076280869,0.001917362,-1.262555554,-0.765829806,-1.363815437,-0.030976818,3.27817731,0.473086767,-0.516334222,-0.26501305,-0.343014161,0.6510656,-0.366368555,-0.563544,0.437397072,-1.00146124,-1.425254048,-0.631020261,-0.944008059,0.751124327,-0.409426914,0,0
10/14/2023,936,-1.09271541,-1.724087104,-0.93340588,-0.767618009,0.801242385,-0.57478452,-0.135108757,0.188526661,-0.166269166,0.741036825,0.138692046,0.586966737,-0.355226731,-0.553461849,-1.363815437,-0.465372664,5.315879055,-0.055251009,-0.540112666,-0.465947124,-0.218258597,0.459275237,-0.402979673,-0.806846122,-0.218418449,-0.575875459,-1.261923358,-0.681998317,-0.944008059,0.665300718,0.553890256,0,0
10/15/2023,787,-1.54783703,-2.10161012,-1.818955932,-1.477153093,-1.074813795,-1.374311775,0.488240568,-0.986476712,-0.301586267,0.560160056,0.45919712,-0.204707219,-1.715381399,-0.75583602,-1.369277438,-0.506743697,4.169358909,-0.706176962,-0.580968355,-0.417722946,-1.005598436,0.801716641,-0.476201908,-1.830742551,-0.69052661,-0.702400962,-1.453102042,-1.21050173,-0.944008059,0.628519171,-1.063106422,0,0
10/16/2023,1030,-1.160891523,-1.613292305,-0.97706764,-0.616701023,-0.913084814,-0.567645883,-1.499420489,-0.804256938,-0.638268103,0.26713969,0.546163435,-0.253461334,-0.796312647,-0.528477383,-1.402049443,-0.1344044,2.091604058,0.638839794,-0.504661168,-0.194686124,-0.286098028,1.529477055,-0.39820431,-0.791639739,0.228010188,0.670557592,-0.762869638,-0.190291792,0.676779674,0.730690135,-1.26953153,0,0
10/17/2023,950,-1.274211278,-1.449151864,-0.979306705,-1.463638139,-0.662404894,-0.817498151,-1.452375257,-0.334569761,1.215898373,0.370239448,0.258881449,-0.137380109,-0.875137887,0.375960272,-1.314657428,-0.030976818,3.4734362,-0.141580711,-0.530168953,-0.196695465,2.929376028,0.814464037,0.171655696,-0.446961734,0.741600656,0.130994291,-1.053063409,-0.447962695,-0.846760795,0.129924867,-1.26953153,0,0
10/18/2023,991,-0.361204142,-0.308375793,-0.814735456,-0.278827173,-0.031661868,0.031999558,-0.24096053,-0.400545886,-0.047061243,0.657833511,0.541277687,-0.24649646,-0.355226731,-0.081255449,-1.489441458,-0.237831983,2.812559958,-0.366037936,-0.494717455,-0.106275131,0.623122823,1.877712731,-0.290758638,-0.107352522,0.362333849,0.177003565,-0.871609421,0.091848577,1.48717354,0.567216592,-1.26953153,0,0
10/19/2023,1026,-0.858705508,-0.891074361,-0.860636281,-0.880242625,-0.161045052,-0.396318614,1.958404072,0.527832447,-0.266146074,0.735610522,-0.202333169,1.255594594,-0.289818554,-0.585941654,-1.320119429,-0.175775433,0.013849208,0.400569817,-0.518063564,-0.250947665,0.732643261,1.017263516,-0.365572661,-0.315173084,-0.074218048,-0.068727783,-1.126219645,-0.081106064,0.012256703,1.241544954,0.450677703,0,0
10/20/2023,996,-1.168261914,-1.182423646,-0.248252111,-1.258661337,0.825501732,-0.282100435,0.441195336,-0.380124704,-0.593162403,0.514940864,-0.418283233,-1.207649006,-0.164033597,-1.013176016,-1.341967433,-0.506743697,0.098962057,-0.588768567,-0.53881566,-0.331321295,-0.75350021,0.709008308,-0.434019534,-0.553406412,-0.038661785,-0.83206346,-1.060577946,-0.277139863,-0.895384427,1.92813383,-0.203001806,0,0
10/21/2023,872,-1.184845292,-1.822571369,-0.883026927,-1.053684535,-0.468330116,-1.331479958,1.111589894,-0.109936763,0.052815666,0.035617425,-0.481797958,-1.012632547,-0.819792506,-0.99568689,-1.462131454,-0.568800246,-1.137677576,-1.082574462,-0.556109073,-0.250947665,-1.6207526,0.295297373,-0.453120986,-1.334000719,-1.251525429,-0.880686897,-1.225455748,-0.869504877,-0.944008059,-0.041722352,-0.30621436,0,0
10/22/2023,781,-1.645494705,-2.10161012,-1.427119626,-1.603292664,-0.638145547,-0.567645883,-0.252721838,-1.201684549,-0.267756992,-0.018645605,-0.365517154,-1.339981602,-1.613076301,-1.175575043,-1.478517456,-0.610171279,-1.463109059,-1.194803075,-0.561729433,-0.403657561,-2.256028629,-0.128263824,-0.490527998,-1.440445397,-1.587334581,-1.163539364,-1.35165578,-1.176856213,-0.944008059,0.019580226,-1.166318976,0,0
